rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,product_category,source_row_id,source_dataset,source_path
2.0,"If you like coffee, keep looking. Would not recommend.","It works fine in the keurig maker. This blend is listed as ""light roast"" but should be listed as ""browned water"".<br />Would be perfect for those who do not like coffee.<br />I will say that Green Mountain Dark Magic cups are fantastic, but this ""flavored coffee"" is one of the worst I have ever had. Now I have a box of disgusting k-cups I will not use. It hardly even produces an aroma. So disappointed given the brand.<br />Keep looking if you want a bold flavored coffee, this is not it.",B076WT9J3X,B09XCRMYVV,AEWJXW46LKSW22FWTGRYTLNE7TGA,1668440917768,0,True,Grocery_and_Gourmet_Food,230,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,GROSS !!,gross !!! dont bother  !!!!  idk what this tastes like  its surely not coffee  ill NEVER purchase Smart Sips again  ........and i have a brand new machine so its surely not that .. and i used 3 different cups with 3 diff amounts of water  GROSS GROSS GROSS !!!,B010EOQGCC,B09X6WM1K2,AHGAOIZVODNHYMNCBV4DECZH42UQ,1502137073942,0,True,Grocery_and_Gourmet_Food,728,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,Starbucks blah,"Just not my flavor for coffee. It was bitter, not sweet at all, never distinguished what kind of coffee flavor it was supposed to be.",B083XDH8K8,B083XDH8K8,AEYS7TG2WOZAB7NLRVGTM5XZIG3Q,1627409725905,0,True,Grocery_and_Gourmet_Food,836,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,NOT 100% Kona coffee as advertised,"1. Shame on me for not reading the previously posted reviews!<br />2. NOT KONA COFFEE. it's a blend of anything they'd like<br />3. Tastes like old regular can coffee<br />4. Really bummed as I purchased as gifts.<br />*1 note.. each bag came individually boxed and cello sealed. Like you would like your really delicious 100% KONA coffee to be delivered. Too bad this stuff is junk<br />5. NO LABEL listing ""blend"" - one single sticker stating ""Aloha gold""  yeah. Right.<br />Grrrrrrrrrrrrr. Always read reviews! After 30 years you'd think I'd have learned.<br />Cannot recommend this purchase to literally anyone. I never hesitate to update my reviews should new info seem useful.",B004QM0XLO,B004QM0XLO,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1648848667006,0,True,Grocery_and_Gourmet_Food,1175,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,Double Donut pumpkin spice kcups,"You get 4 boxes of these - so LOTS of kcups and they work in your kcup brewer.  But that's where the positive ends.  You can smell the pumpkin spice faintly - but when brewed it tasted like - watery pumpkin spice! I've never tasted any coffee like it. (FYI - these are DECAF - but that doesn't mean NO coffee)  I actually opened the kcup to see if there were coffee grounds in the cup.  There is some brown stuff that looks like coffee? Not sure.  You should be able to smell or taste coffee period.  No coffee flavor at all - as I said, just watery faint pumpkin spice flavor.  What a huge disappointment.  I landed all 4 in the recycle bin.",B01HQF7WPM,B01HQF7WPM,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1633125824522,2,True,Grocery_and_Gourmet_Food,1247,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,Aghh ... bad batch.,"Unfortunately, Amazon's vendor messed up this one. The coffee is completely stale and horribly bitter. Sumatra, is a mild low-acid coffee and when fresh it is smooth, choclately and never even close to bitter.<br /><br />Another Keurig order from another Amazon vendor was just fine.<br /><br />Wish I could return this or get a refund and order some more Keurig's that aren't stale and bitter.",B00I5FWX7K,B0C5HT6P91,AEDNNPW6JQ4H6NPMF2FYMIUZOTGQ,1408227999000,3,True,Grocery_and_Gourmet_Food,2307,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
2.0,I did not like this coffee,Gave it to a friend that loves it!!!  But not my preferred coffee,B0944STNV8,B0C4FL7Y21,AG7QDTQYHFOIXFWSVUUBZOEIW2NA,1665951887335,0,True,Grocery_and_Gourmet_Food,2905,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
2.0,Sour coffee? Yes.,"Not quite a coffee snob here, but do prefer coffee that is complex, smooth, not too bitter, and just roasty enough. This was none of those things. It almost had a sour flavor, to the point that I double checked the expiration and did a nose test on my creamer to make sure that hadn't expired.<br /><br />I didn't get any notes of vanilla or macadamia. Made one pot, ended up pouring that out and then tossed the whole bag.<br /><br />Life is too short to suffer through a bad cup of coffee.",B007PMA0ZQ,B09HCFRWNP,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,1614953546439,0,True,Grocery_and_Gourmet_Food,3173,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,Didn't get Decaf,"I kept the coffee because I also drink regular, but they were NOT decaffeinated.",B00URXM6FM,B00URXM6FM,AHXSNO2ZJ7ZOTJ3Q4BVOEBT7P6FQ,1553617694856,0,True,Grocery_and_Gourmet_Food,3598,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,Tastes awful!,"The taste is terrible. I let a lot of people try this coffee and not one person likes it. They even make the ""this is gross"" face.  Down in south Louisiana where dark, strong coffee is the norm, this doesn't cut it!",B07DD5PBNB,B07PZQLDFM,AHATA6X6MYTC3VNBFJ3WIYVK257A,1537665340686,1,False,Grocery_and_Gourmet_Food,3686,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,"Oh boy, this stuff was yummy......No, not really.","If you like chemically tasting coffee, this is the coffee for you!  This coffee was horrible.  The chocolate tasted like extremely artificial and since we had a bad snow stroms all week, I had to force myself to drink this until I could get out to the store and get real stuff.  Never again.",B009Z02S56,B07X718GJV,AGKKAXZPXFYIBA3N53YNJYU2AT3Q,1452532716000,1,True,Grocery_and_Gourmet_Food,3779,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,Nothing premium,Way too sweet and thick syrupy nonsense for people who start off their morning on their way to obesity. Why drink coffee when it tastes like a candy bar,B07NPH4NKF,B07Z5QVDCW,AEMJ2EG5ODOCYUTI54NBXZHDJGSQ,1614388376023,0,True,Grocery_and_Gourmet_Food,4372,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
1.0,Good for composting only not drinking,Coffee was the worse ever. I even wrote the company and they never replied back. I put it all in my compost bin,B07CZQF4M4,B0BC3NB2VR,AFVHJ6WOYXAFXPKYKG3JBSX23D5A,1627057566160,0,True,Grocery_and_Gourmet_Food,4468,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
2.0,"Nasty tasting coffee for a ""breakfast blend""","I will use what I purchased, although I will have to dilute it cup by cup to drink it.  I definitely will not be buying this brand again, way too strong.",B00NYSUP4G,B08NWZH4CJ,AGYEAZK4OEYF2MSSTGJ5WNJDVZKA,1625323012055,0,True,Grocery_and_Gourmet_Food,4474,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/Grocery_and_Gourmet_Food.jsonl
